acdnt_type,no,ocrn_dt,adstrd_code,stdg_code,stdg_nm,ctpv_code,sgg_code,lot,wrngdo_drver_age,wrngdo_drver_sexdstn,sgg_nm,road_stle,sufrer_age,caslt_cnt,acdnt_no,ctpv_nm,sufrer_sexdstn,lat,crtr_ymd,adstrd_nm
차대차 - 후진중충돌,3631,2018년 11월 27일 18시,3020055000,3020012600,가정동,3000000000,3020000000,1820185,19세,남,유성구,단일로 - 기타,28세,1,2018112700100471,대전광역시,남,989103,2018-11-27,신성동
차대차 - 추돌,4798,2019년 07월 02일 20시,3020058000,3020014500,봉산동,3000000000,3020000000,1826367,59세,남,유성구,단일로 - 기타,29세,1,2019070200100576,대전광역시,남,989958,2019-07-02,구즉동
차대차 - 측면충돌,32,2017년 01월 08일 10시,3020054700,3020012100,죽동,3000000000,3020000000,1820151,60세,남,유성구,단일로 - 기타,19세,1,2017010800100166,대전광역시,남,984400,2017-01-08,노은2동
차대차 - 기타,735,2017년 06월 02일 19시,3020054000,3020011700,장대동,3000000000,3020000000,1818290,48세,남,유성구,단일로 - 기타,37세,1,2017060200100560,대전광역시,남,985382,2017-06-02,온천2동
차량단독 - 기타,1293,2017년 09월 20일 18시,3020055000,3020012500,신성동,3000000000,3020000000,1820333,34세,남,유성구,단일로 - 기타,,6,2017092000100597,대전광역시,,985925,2017-09-20,신성동
차량단독 - 기타,1355,2017년 09월 30일 23시,3020054000,3020012200,궁동,3000000000,3020000000,1818094,24세,남,유성구,기타 - 기타,,1,2017093000100685,대전광역시,,986751,2017-09-30,온천2동
차대차 - 추돌,3326,2018년 10월 05일 19시,3020054000,3020011700,장대동,3000000000,3020000000,1818004,54세,남,유성구,단일로 - 기타,34세,4,2018100500100690,대전광역시,남,985580,2018-10-05,온천2동
차대차 - 추돌,3689,2018년 12월 06일 06시,3020060000,3020014600,관평동,3000000000,3020000000,1826105,39세,남,유성구,단일로 - 기타,37세,1,2018120600100083,대전광역시,남,990391,2018-12-06,관평동
차대차 - 기타,5467,2019년 10월 25일 22시,3020054600,3020011900,노은동,3000000000,3020000000,1818831,35세,남,유성구,단일로 - 기타,45세,2,2019102500100808,대전광역시,남,984186,2019-10-25,노은1동
차대차 - 기타,5906,2020년 01월 07일 17시,3020054800,3020012000,지족동,3000000000,3020000000,1820466,51세,남,유성구,기타 - 기타,59세,1,2020010700100448,대전광역시,남,982321,2020-01-07,노은3동
차대차 - 기타,7612,2020년 12월 16일 19시,3020053000,3020011100,봉명동,3000000000,3020000000,1817068,54세,남,유성구,기타 - 기타,48세,1,2020121600100472,대전광역시,남,985666,2020-12-16,온천1동
차대사람 - 횡단중,7755,2021년 01월 18일 10시,3020060000,3020014400,용산동,3000000000,3020000000,1824669,28세,남,유성구,단일로 - 기타,44세,1,2021011800100113,대전광역시,여,990528,2021-01-18,관평동
차대차 - 기타,7846,2021년 02월 06일 23시,3020060000,3020014600,관평동,3000000000,3020000000,1824446,23세,남,유성구,단일로 - 기타,56세,4,2021020600100517,대전광역시,여,989067,2021-02-06,관평동
차대차 - 기타,8538,2021년 06월 17일 22시,3020054000,3020012200,궁동,3000000000,3020000000,1818463,21세,남,유성구,기타 - 기타,50세,3,2021061700100558,대전광역시,남,985702,2021-06-17,온천2동
차대사람 - 횡단중,1,2017년 01월 01일 17시,3020054600,3020011900,노은동,3000000000,3020000000,1819127,80세,남,유성구,교차로 - 교차로안,8세,1,2017010100100285,대전광역시,남,984157,2017-01-01,노은1동
차대차 - 추돌,2,2017년 01월 01일 20시,3020061000,3020011100,봉명동,3000000000,3020000000,1816944,31세,여,유성구,단일로 - 기타,55세,1,2017010100100380,대전광역시,여,986366,2017-01-01,원신흥동
차대차 - 추돌,3,2017년 01월 02일 11시,3020060000,3020014600,관평동,3000000000,3020000000,1824436,45세,남,유성구,단일로 - 기타,33세,1,2017010200100193,대전광역시,여,989065,2017-01-02,관평동
차대차 - 기타,4,2017년 01월 02일 14시,3020054800,3020013900,반석동,3000000000,3020000000,1821700,24세,남,유성구,교차로 - 교차로안,61세,1,2017010200100265,대전광역시,여,983228,2017-01-02,노은3동
차대차 - 추돌,5,2017년 01월 02일 19시,3020055000,3020013000,화암동,3000000000,3020000000,1823670,31세,여,유성구,단일로 - 기타,40세,2,2017010200100433,대전광역시,남,989027,2017-01-02,신성동
